subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq
7	5	19	10	30	1	0
7	10	31	10	30	1	0
7	100	25	10	30	0	0
7	50	43	10	30	0	0
7	20	43	10	30	0	0
7	1	37	10	30	1	0
7	10	31	10	30	1	0
7	50	37	10	30	0	0
7	20	31	10	30	0	0
7	5	25	10	30	1	0
7	100	37	10	30	0	0
7	1	43	10	30	1	0
7	50	43	10	30	0	0
7	10	25	10	30	1	0
7	20	43	10	30	0	0
7	100	31	10	30	0	0
7	5	43	10	30	1	0
7	1	19	10	30	1	0
7	20	19	10	30	0	0
7	5	37	10	30	1	0
7	50	25	10	30	0	0
7	100	25	10	30	0	0
7	10	43	10	30	1	0
7	1	37	10	30	1	0
7	20	37	10	30	0	0
7	5	31	10	30	1	0
7	1	31	10	30	1	0
7	50	19	10	30	0	0
7	10	37	10	30	1	0
7	100	19	10	30	0	0
7	20	25	10	30	0	0
7	1	25	10	30	1	0
7	5	19	10	30	1	0
7	10	19	10	30	1	0
7	100	43	10	30	0	0
7	50	31	10	30	0	0
7	20	31	20	20	0	1
7	50	25	20	20	0	1
7	1	37	20	20	1	1
7	100	37	20	20	0	1
7	10	31	20	20	1	1
7	5	37	20	20	1	1
7	5	25	20	20	1	1
7	1	31	20	20	1	1
7	50	43	20	20	0	1
7	100	25	20	20	0	1
7	10	43	20	20	1	1
7	20	43	20	20	0	1
7	1	43	20	20	1	1
7	100	19	20	20	0	1
7	5	31	20	20	1	1
7	20	37	20	20	0	1
7	50	19	20	20	0	1
7	10	25	20	20	1	1
7	1	25	20	20	1	1
7	100	31	20	20	0	1
7	5	43	20	20	1	1
7	20	25	20	20	0	1
7	50	37	20	20	0	1
7	10	19	20	20	1	1
7	100	43	20	20	0	1
7	1	19	20	20	1	1
7	10	37	20	20	1	1
7	50	31	20	20	0	1
7	5	19	20	20	1	1
7	20	19	20	20	0	1
8	50	25	10	30	0	0
8	1	25	10	30	1	0
8	10	19	10	30	1	0
8	5	31	10	30	1	0
8	20	31	10	30	0	0
8	100	25	10	30	0	0
8	10	25	10	30	1	0
8	20	25	10	30	0	0
8	50	31	10	30	0	0
8	100	37	10	30	0	0
8	1	37	10	30	1	0
8	5	25	10	30	1	0
8	20	37	10	30	0	0
8	50	19	10	30	0	0
8	5	43	10	30	1	0
8	10	37	10	30	1	0
8	100	19	10	30	0	0
8	1	31	10	30	1	0
8	10	31	10	30	1	0
8	5	37	10	30	1	0
8	50	37	10	30	0	0
8	1	43	10	30	1	0
8	20	43	10	30	0	0
8	100	31	10	30	0	0
8	100	43	10	30	0	0
8	1	19	10	30	1	0
8	10	43	10	30	1	0
8	50	43	10	30	0	0
8	20	19	10	30	0	0
8	5	19	10	30	1	0
8	1	43	20	20	1	1
8	10	43	20	20	1	1
8	50	19	20	20	0	1
8	5	25	20	20	1	1
8	100	31	20	20	0	1
8	20	43	20	20	0	1
8	1	19	20	20	1	1
8	100	43	20	20	0	1
8	5	31	20	20	1	1
8	50	43	20	20	0	1
8	10	31	20	20	0	1
8	20	31	20	20	0	1
8	100	19	20	20	1	1
8	50	25	20	20	0	1
8	5	43	20	20	1	1
8	10	25	20	20	1	1
8	20	37	20	20	0	1
8	1	25	20	20	1	1
8	50	37	20	20	0	1
8	20	19	20	20	1	1
8	100	37	20	20	0	1
8	10	19	20	20	1	1
8	1	31	20	20	1	1
8	5	19	20	20	1	1
8	50	31	20	20	0	1
8	20	25	20	20	0	1
8	1	37	20	20	1	1
8	5	37	20	20	1	1
8	10	37	20	20	0	1
8	100	25	20	20	0	1
8	5	31	10	30	1	0
8	50	19	10	30	0	0
8	10	25	10	30	0	0
8	20	43	10	30	0	0
8	1	25	10	30	1	0
8	100	37	10	30	0	0
8	50	37	10	30	0	0
8	5	37	10	30	1	0
8	1	43	10	30	0	0
8	20	37	10	30	0	0
8	100	43	10	30	0	0
